"year","item_code","description","value"
1966,"","Impuestos sobre la propiedad",0
1966,"","Impuestos sobre transacciones internas",0
1966,"","Ingresos No Tributarios y Otros Ingresos Corrientes",13396000
1966,"","Ingresos de Capital",8673000
1966,"","Otros",0
1966,"","Total General de Ingresos (Corrientes + Capital)",232193000
1966,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",223520000
1966,"","Total Ingresos No Tributarios",22069000
1966,"","Total Ingresos Tributarios",210124000
1967,"","Imp. sobre la renta",0
1967,"","Impuestos sobre el comercio exterior",0
1967,"","Impuestos sobre la propiedad",0
1967,"","Impuestos sobre transacciones internas",0
1967,"","Ingresos No Tributarios y Otros Ingresos Corrientes",14926000
1967,"","Ingresos de Capital",7331000
1967,"","Otros",0
1967,"","Total General de Ingresos (Corrientes + Capital)",234236000
1967,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",226905000
1967,"","Total Ingresos No Tributarios",22257000
1967,"","Total Ingresos Tributarios",211979000
1968,"","Imp. sobre la renta",0
1968,"","Impuestos sobre el comercio exterior",0
1968,"","Impuestos sobre la propiedad",0
1968,"","Impuestos sobre transacciones internas",0
1968,"","Ingresos No Tributarios y Otros Ingresos Corrientes",14463000
1968,"","Ingresos de Capital",2751000
1968,"","Otros",0
1968,"","Total General de Ingresos (Corrientes + Capital)",234233000
1968,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",231482000
1968,"","Total Ingresos No Tributarios",17214000
1968,"","Total Ingresos Tributarios",217019000
1969,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",68454789.9
1969,"020","Derecho de Exportación",27403754.02
1969,"010","Derecho de Importación",57199981.62
1969,"040","IMPUESTOS DE EMERGENCIA / Otros Ingresos Tributarios",9301882.76
1969,"010","IMPUESTOS SOBRE LA RENTA",38063404.74
1969,"150","IMPUESTOS Y GRAVÁMENES SOBRE ACTIVIDADES PRODUCTIVAS Y COMERCIALES, ACTOS JURIDICOS Y TRANSACCIONES",9926799.67
1969,"200","INGRESOS NO TRIBUTARIOS",12855503.65
1969,"","Imp. sobre la renta",38063404.74
1969,"020","Impuesto Sobre Patrimonio",17661513.28
1969,"030","Impuestos Sobre Transferencia de Propiedades",7159558.25
1969,"","Impuestos sobre el comercio exterior",84603735.64
1969,"","Impuestos sobre la propiedad",24821071.53
1969,"","Impuestos sobre transacciones internas",78381589.57
1969,"","Ingresos No Tributarios y Otros Ingresos Corrientes",16077560.26
1969,"","Ingresos de Capital",27312056.68
1969,"170","OTROS IMPUESTOS Y GRAVÁMENES DIVERSOS",705539.62
1969,"400","OTROS INGRESOS CORRIENTES",214006.25
1969,"","Otros",10007422.38
1969,"300","TRANSFERENCIAS CORRIENTES DEL SECTOR PRIVADO",3008050.36
1969,"","Total General de Ingresos (Corrientes + Capital)",279266840.8
1969,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",251954784.12
1969,"","Total Ingresos No Tributarios",43389616.94
1969,"","Total Ingresos Tributarios",235877223.86
1970,"","Imp. sobre la renta",0
1970,"","Impuestos sobre el comercio exterior",0
1970,"","Impuestos sobre la propiedad",0
1970,"","Impuestos sobre transacciones internas",0
1970,"","Ingresos No Tributarios y Otros Ingresos Corrientes",17245000
1970,"","Ingresos de Capital",32093000
1970,"","Otros",0
1970,"","Total General de Ingresos (Corrientes + Capital)",313932000
1970,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",281839000
1970,"","Total Ingresos No Tributarios",49338000
1970,"","Total Ingresos Tributarios",264594000
1971,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",77127212.01
1971,"020","Derecho de Exportación",38243509.15
1971,"010","Derecho de Importación",68357194.59
1971,"040","IMPUESTOS DE EMERGENCIA / Otros Ingresos Tributarios",80304.01
1971,"010","IMPUESTOS SOBRE LA RENTA",45318277.23
1971,"150","IMPUESTOS Y GRAVÁMENES SOBRE ACTIVIDADES PRODUCTIVAS Y COMERCIALES, ACTOS JURIDICOS Y TRANSACCIONES",24630016.9
1971,"200","INGRESOS NO TRIBUTARIOS",18013673.29
1971,"","Imp. sobre la renta",45318277.23
1971,"020","Impuesto Sobre Patrimonio",16875996.37
1971,"030","Impuestos Sobre Transferencia de Propiedades",7614190.31
1971,"","Impuestos sobre el comercio exterior",106600703.74
1971,"","Impuestos sobre la propiedad",24490186.68
1971,"","Impuestos sobre transacciones internas",101757228.91
1971,"","Ingresos No Tributarios y Otros Ingresos Corrientes",20823555.7
1971,"","Ingresos de Capital",58805663.83
1971,"170","OTROS IMPUESTOS Y GRAVÁMENES DIVERSOS",710231.53
1971,"400","OTROS INGRESOS CORRIENTES",189208.87
1971,"","Otros",790535.54
1971,"300","TRANSFERENCIAS CORRIENTES DEL SECTOR PRIVADO",2620673.54
1971,"","Total General de Ingresos (Corrientes + Capital)",358586151.63
1971,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",299780487.8
1971,"","Total Ingresos No Tributarios",79629219.53
1971,"","Total Ingresos Tributarios",278956932.1
1972,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",82070110.71
1972,"020","Derecho de Exportación",47498628.121
1972,"010","Derecho de Importación",70871957.26
1972,"040","IMPUESTOS DE EMERGENCIA / Otros Ingresos Tributarios",66105.27
1972,"010","IMPUESTOS SOBRE LA RENTA",52088611.41
1972,"150","IMPUESTOS Y GRAVÁMENES SOBRE ACTIVIDADES PRODUCTIVAS Y COMERCIALES, ACTOS JURIDICOS Y TRANSACCIONES",28041275.18
1972,"200","INGRESOS NO TRIBUTARIOS",17840244.5
1972,"","Imp. sobre la renta",52088611.41
1972,"020","Impuesto Sobre Patrimonio",16650233.64
1972,"030","Impuestos Sobre Transferencia de Propiedades",6851158.15
1972,"","Impuestos sobre el comercio exterior",118370585.381
1972,"","Impuestos sobre la propiedad",23501391.79
1972,"","Impuestos sobre transacciones internas",110111385.89
1972,"","Ingresos No Tributarios y Otros Ingresos Corrientes",21481382.98
1972,"","Ingresos de Capital",65879984.52
1972,"170","OTROS IMPUESTOS Y GRAVÁMENES DIVERSOS",761025.43
1972,"400","OTROS INGRESOS CORRIENTES",246331.18
1972,"","Otros",827130.7
1972,"300","TRANSFERENCIAS CORRIENTES DEL SECTOR PRIVADO",3394807.3
1972,"","Total General de Ingresos (Corrientes + Capital)",392260472.671
1972,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",326380488.151
1972,"","Total Ingresos No Tributarios",87361367.5
1972,"","Total Ingresos Tributarios",304899105.171
1973,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",93157215.21
1973,"020","Derecho de Exportación",76120465.65
1973,"010","Derecho de Importación",78473528.22
1973,"040","IMPUESTOS DE EMERGENCIA / Otros Ingresos Tributarios",51549.98
1973,"010","IMPUESTOS SOBRE LA RENTA",62625570.3
1973,"150","IMPUESTOS Y GRAVÁMENES SOBRE ACTIVIDADES PRODUCTIVAS Y COMERCIALES, ACTOS JURIDICOS Y TRANSACCIONES",34068836.4
1973,"200","INGRESOS NO TRIBUTARIOS",21976532.09
1973,"","Imp. sobre la renta",62625570.3
1973,"020","Impuesto Sobre Patrimonio",18542703.86
1973,"030","Impuestos Sobre Transferencia de Propiedades",12263546.53
1973,"","Impuestos sobre el comercio exterior",154593993.87
1973,"","Impuestos sobre la propiedad",30806250.39
1973,"","Impuestos sobre transacciones internas",127226051.61
1973,"","Ingresos No Tributarios y Otros Ingresos Corrientes",26580929.19
1973,"","Ingresos de Capital",74439787.39
1973,"170","OTROS IMPUESTOS Y GRAVÁMENES DIVERSOS",771412.9
1973,"400","OTROS INGRESOS CORRIENTES",200619.43
1973,"","Otros",822962.88
1973,"300","TRANSFERENCIAS CORRIENTES DEL SECTOR PRIVADO",4403777.67
1973,"","Total General de Ingresos (Corrientes + Capital)",477095545.63
1973,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",402655758.24
1973,"","Total Ingresos No Tributarios",101020716.58
1973,"","Total Ingresos Tributarios",376074829.05
1974,"","Imp. sobre la renta",0
1974,"","Impuestos sobre el comercio exterior",0
1974,"","Impuestos sobre la propiedad",0
1974,"","Impuestos sobre transacciones internas",0
1974,"","Ingresos No Tributarios y Otros Ingresos Corrientes",31082000
1974,"","Ingresos de Capital",109953000
1974,"","Otros",0
1974,"","Total General de Ingresos (Corrientes + Capital)",594298000
1974,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",484345000
1974,"","Total Ingresos No Tributarios",141035000
1974,"","Total Ingresos Tributarios",453263000
1975,"","Imp. sobre la renta",0
1975,"","Impuestos sobre el comercio exterior",0
1975,"","Impuestos sobre la propiedad",0
1975,"","Impuestos sobre transacciones internas",0
1975,"","Ingresos No Tributarios y Otros Ingresos Corrientes",36611000
1975,"","Ingresos de Capital",184097000
1975,"","Otros",0
1975,"","Total General de Ingresos (Corrientes + Capital)",762033000
1975,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",577936000
1975,"","Total Ingresos No Tributarios",220708000
1975,"","Total Ingresos Tributarios",541325000
1976,"","Imp. sobre la renta",0
1976,"","Impuestos sobre el comercio exterior",0
1976,"","Impuestos sobre la propiedad",0
1976,"","Impuestos sobre transacciones internas",0
1976,"","Ingresos No Tributarios y Otros Ingresos Corrientes",42425000
1976,"","Ingresos de Capital",176852000
1976,"","Otros",0
1976,"","Total General de Ingresos (Corrientes + Capital)",986836000
1976,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",809984000
1976,"","Total Ingresos No Tributarios",219277000
1976,"","Total Ingresos Tributarios",767559000
1977,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",183529081.46
1977,"020","Derecho de Exportación",460045014.24
1977,"010","Derecho de Importación",163641076.18
1977,"010","IMPUESTOS SOBRE LA RENTA",164153652.09
1977,"150","IMPUESTOS Y GRAVÁMENES SOBRE ACTIVIDADES PRODUCTIVAS Y COMERCIALES, ACTOS JURIDICOS Y TRANSACCIONES",84173686.94
1977,"200","INGRESOS NO TRIBUTARIOS",39883676.27
1977,"","Imp. sobre la renta",164153652.09
1977,"020","Impuesto Sobre Patrimonio",54224985.86
1977,"030","Impuestos Sobre Transferencia de Propiedades",19072013.49
1977,"","Impuestos sobre el comercio exterior",623686090.42
1977,"","Impuestos sobre la propiedad",73296999.35
1977,"","Impuestos sobre transacciones internas",267702768.4
1977,"","Ingresos No Tributarios y Otros Ingresos Corrientes",50355000
1977,"","Ingresos de Capital",71102610.48
1977,"170","OTROS IMPUESTOS Y GRAVÁMENES DIVERSOS",628867.26
1977,"400","OTROS INGRESOS CORRIENTES",881697.82
1977,"","Otros",628867.26
1977,"300","TRANSFERENCIAS CORRIENTES DEL SECTOR PRIVADO",9527758.62
1977,"","Total General de Ingresos (Corrientes + Capital)",1250925988
1977,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",1179823377.52
1977,"","Total Ingresos No Tributarios",121457610.48
1977,"","Total Ingresos Tributarios",1129468377.52
1978,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",191030000
1978,"020","Derecho de Exportación",244216000
1978,"010","Derecho de Importación",157338000
1978,"010","IMPUESTOS SOBRE LA RENTA",201779000
1978,"","Imp. sobre la renta",201779000
1978,"020","Impuesto Sobre Patrimonio",61710000
1978,"030","Impuestos Sobre Transferencia de Propiedades",22068000
1978,"","Impuestos sobre el comercio exterior",401554000
1978,"","Impuestos sobre la propiedad",83778000
1978,"","Impuestos sobre transacciones internas",284968000
1978,"","Ingresos No Tributarios y Otros Ingresos Corrientes",54851000
1978,"","Ingresos de Capital",154255000
1978,"2","No Tributarios y otros",54851000
1978,"","Otros",0
1978,"4","Otros impuestos y gravamenes",13624000
1978,"3","Timbres fiscales",80314000
1978,"","Total General de Ingresos (Corrientes + Capital)",1181185000
1978,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",1026930000
1978,"","Total Ingresos No Tributarios",209106000
1978,"","Total Ingresos Tributarios",972079000
1978,"1","uso de servicio",0
1979,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",212439000
1979,"020","Derecho de Exportación",392921000
1979,"010","Derecho de Importación",178279000
1979,"010","IMPUESTOS SOBRE LA RENTA",192880000
1979,"","Imp. sobre la renta",192880000
1979,"020","Impuesto Sobre Patrimonio",60993000
1979,"030","Impuestos Sobre Transferencia de Propiedades",23410000
1979,"","Impuestos sobre el comercio exterior",571200000
1979,"","Impuestos sobre la propiedad",84403000
1979,"","Impuestos sobre transacciones internas",313794000
1979,"","Ingresos No Tributarios y Otros Ingresos Corrientes",53113000
1979,"","Ingresos de Capital",293409000
1979,"2","No Tributarios y otros",53113000
1979,"","Otros",0
1979,"4","Otros impuestos y gravamenes",13514000
1979,"3","Timbres fiscales",87841000
1979,"","Total General de Ingresos (Corrientes + Capital)",1508799000
1979,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",1215390000
1979,"","Total Ingresos No Tributarios",346522000
1979,"","Total Ingresos Tributarios",1162277000
1979,"1","uso de servicio",0
1980,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",207679000
1980,"020","Derecho de Exportación",276377000
1980,"010","Derecho de Importación",98504000
1980,"010","IMPUESTOS SOBRE LA RENTA",235133000
1980,"","Imp. sobre la renta",235133000
1980,"020","Impuesto Sobre Patrimonio",59850000
1980,"030","Impuestos Sobre Transferencia de Propiedades",17026000
1980,"","Impuestos sobre el comercio exterior",374881000
1980,"","Impuestos sobre la propiedad",76876000
1980,"","Impuestos sobre transacciones internas",302384000
1980,"","Ingresos No Tributarios y Otros Ingresos Corrientes",50518000
1980,"","Ingresos de Capital",336545000
1980,"2","No Tributarios y otros",50518000
1980,"","Otros",0
1980,"4","Otros impuestos y gravamenes",13300000
1980,"3","Timbres fiscales",81405000
1980,"","Total General de Ingresos (Corrientes + Capital)",1376337000
1980,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",1039792000
1980,"","Total Ingresos No Tributarios",387063000
1980,"","Total Ingresos Tributarios",989274000
1980,"1","uso de servicio",0
1981,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",216485000
1981,"020","Derecho de Exportación",235594000
1981,"010","Derecho de Importación",86871000
1981,"010","IMPUESTOS SOBRE LA RENTA",226187000
1981,"","Imp. sobre la renta",226187000
1981,"020","Impuesto Sobre Patrimonio",55961000
1981,"030","Impuestos Sobre Transferencia de Propiedades",15060000
1981,"","Impuestos sobre el comercio exterior",322465000
1981,"","Impuestos sobre la propiedad",71021000
1981,"","Impuestos sobre transacciones internas",370670000
1981,"","Ingresos No Tributarios y Otros Ingresos Corrientes",116711000
1981,"","Ingresos de Capital",633370000
1981,"2","No Tributarios y otros",116711000
1981,"","Otros",0
1981,"4","Otros impuestos y gravamenes",12186000
1981,"3","Timbres fiscales",141999000
1981,"","Total General de Ingresos (Corrientes + Capital)",1740424000
1981,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",1107054000
1981,"","Total Ingresos No Tributarios",750081000
1981,"","Total Ingresos Tributarios",990343000
1981,"1","uso de servicio",0
1982,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",217989000
1982,"020","Derecho de Exportación",199504000
1982,"010","Derecho de Importación",79418000
1982,"010","IMPUESTOS SOBRE LA RENTA",224630000
1982,"","Imp. sobre la renta",224630000
1982,"020","Impuesto Sobre Patrimonio",52281000
1982,"030","Impuestos Sobre Transferencia de Propiedades",17458000
1982,"","Impuestos sobre el comercio exterior",278922000
1982,"","Impuestos sobre la propiedad",69739000
1982,"","Impuestos sobre transacciones internas",378945000
1982,"","Ingresos No Tributarios y Otros Ingresos Corrientes",157592000
1982,"","Ingresos de Capital",621071000
1982,"2","No Tributarios y otros",157592000
1982,"","Otros",0
1982,"4","Otros impuestos y gravamenes",11990000
1982,"3","Timbres fiscales",148966000
1982,"","Total General de Ingresos (Corrientes + Capital)",1730899000
1982,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",1109828000
1982,"","Total Ingresos No Tributarios",778663000
1982,"","Total Ingresos Tributarios",952236000
1982,"1","uso de servicio",0
1983,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",230093000
1983,"020","Derecho de Exportación",188959000
1983,"010","Derecho de Importación",89520000
1983,"010","IMPUESTOS SOBRE LA RENTA",234768000
1983,"","Imp. sobre la renta",234768000
1983,"020","Impuesto Sobre Patrimonio",5e+07
1983,"030","Impuestos Sobre Transferencia de Propiedades",21352000
1983,"","Impuestos sobre el comercio exterior",278479000
1983,"","Impuestos sobre la propiedad",71352000
1983,"","Impuestos sobre transacciones internas",495217000
1983,"","Ingresos No Tributarios y Otros Ingresos Corrientes",149160000
1983,"","Ingresos de Capital",494356000
1983,"2","No Tributarios y otros",149160000
1983,"","Otros",0
1983,"4","Otros impuestos y gravamenes",13756000
1983,"3","Timbres fiscales",251368000
1983,"","Total General de Ingresos (Corrientes + Capital)",1723332000
1983,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",1228976000
1983,"","Total Ingresos No Tributarios",643516000
1983,"","Total Ingresos Tributarios",1079816000
1983,"1","uso de servicio",0
1984,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",224370000
1984,"020","Derecho de Exportación",247414000
1984,"010","Derecho de Importación",125207000
1984,"010","IMPUESTOS SOBRE LA RENTA",267442000
1984,"","Imp. sobre la renta",267442000
1984,"020","Impuesto Sobre Patrimonio",48980000
1984,"030","Impuestos Sobre Transferencia de Propiedades",24676000
1984,"","Impuestos sobre el comercio exterior",372621000
1984,"","Impuestos sobre la propiedad",73656000
1984,"","Impuestos sobre transacciones internas",636915000
1984,"","Ingresos No Tributarios y Otros Ingresos Corrientes",226953000
1984,"","Ingresos de Capital",1240143000
1984,"2","No Tributarios y otros",226953000
1984,"","Otros",0
1984,"4","Otros impuestos y gravamenes",14373000
1984,"3","Timbres fiscales",370189000
1984,"","Total General de Ingresos (Corrientes + Capital)",2817730000
1984,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",1577587000
1984,"","Total Ingresos No Tributarios",1467096000
1984,"","Total Ingresos Tributarios",1350634000
1984,"1","uso de servicio",27983000
1985,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",257991000
1985,"020","Derecho de Exportación",362667000
1985,"010","Derecho de Importación",170261000
1985,"010","IMPUESTOS SOBRE LA RENTA",297756000
1985,"","Imp. sobre la renta",297756000
1985,"020","Impuesto Sobre Patrimonio",53212000
1985,"030","Impuestos Sobre Transferencia de Propiedades",33750000
1985,"","Impuestos sobre el comercio exterior",532928000
1985,"","Impuestos sobre la propiedad",86962000
1985,"","Impuestos sobre transacciones internas",741725000
1985,"","Ingresos No Tributarios y Otros Ingresos Corrientes",251640000
1985,"","Ingresos de Capital",479999000
1985,"2","No Tributarios y otros",251640000
1985,"","Otros",0
1985,"4","Otros impuestos y gravamenes",16099000
1985,"3","Timbres fiscales",432813000
1985,"","Total General de Ingresos (Corrientes + Capital)",2391010000
1985,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",1911011000
1985,"","Total Ingresos No Tributarios",731639000
1985,"","Total Ingresos Tributarios",1659371000
1985,"1","uso de servicio",34822000
1986,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",279673000
1986,"020","Derecho de Exportación",964289000
1986,"010","Derecho de Importación",204083000
1986,"010","IMPUESTOS SOBRE LA RENTA",432824000
1986,"","Imp. sobre la renta",432824000
1986,"020","Impuesto Sobre Patrimonio",178103000
1986,"030","Impuestos Sobre Transferencia de Propiedades",35835000
1986,"","Impuestos sobre el comercio exterior",1168372000
1986,"","Impuestos sobre la propiedad",213938000
1986,"","Impuestos sobre transacciones internas",887178000
1986,"","Ingresos No Tributarios y Otros Ingresos Corrientes",304946000
1986,"","Ingresos de Capital",500902000
1986,"2","No Tributarios y otros",304946000
1986,"","Otros",0
1986,"4","Otros impuestos y gravamenes",18403000
1986,"3","Timbres fiscales",550240000
1986,"","Total General de Ingresos (Corrientes + Capital)",3508160000
1986,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",3007258000
1986,"","Total Ingresos No Tributarios",805848000
1986,"","Total Ingresos Tributarios",2702312000
1986,"1","uso de servicio",38862000
1987,"2","Consumo y uso de servicio (100---IMPUESTO SOBRE EL CONSUMO DE PRODUCTOS Y SERVICIOS )",331256000
1987,"020","Derecho de Exportación",442879000
1987,"010","Derecho de Importación",258575000
1987,"010","IMPUESTOS SOBRE LA RENTA",560548000
1987,"","Imp. sobre la renta",560548000
1987,"020","Impuesto Sobre Patrimonio",108594000
1987,"030","Impuestos Sobre Transferencia de Propiedades",41973000
1987,"","Impuestos sobre el comercio exterior",701454000
1987,"","Impuestos sobre la propiedad",150567000
1987,"","Impuestos sobre transacciones internas",1104481000
1987,"","Ingresos No Tributarios y Otros Ingresos Corrientes",203800000
1987,"","Ingresos de Capital",511778000
1987,"2","No Tributarios y otros",203800000
1987,"","Otros",0
1987,"4","Otros impuestos y gravamenes",19905000
1987,"3","Timbres fiscales",702972000
1987,"","Total General de Ingresos (Corrientes + Capital)",3232628000
1987,"","Total Ingresos Corrientes (Tributarios + No Tributarios Corrientes)",2720850000
1987,"","Total Ingresos No Tributarios",715578000
