"year","item_code","description","value"
1954,NA,"TOTAL INGRESOS ORDINARIOS",167425998.34
1955,"0","IMPUESTOS (TAXES)",153318754.34
1955,"10","Derechos de Importación",55443466.38
1955,"100","VENTA DE MERCADERIAS Y PRODUCTOS",1706629.84
1955,"1000","TOTAL GENERAL DE INGRESOS",165606215.98
1955,"11","Sobre Tejidos y Artículos de Vestuario",8745866.79
1955,"110","Venta de Artículos Estancados (Monopoly)",1664594.79
1955,"12","Sobre Combustibles y Lubricantes",10161509.03
1955,"13","Sobre Harinas y Cereales",1887738.65
1955,"130","Artículos y Materiales de Construcción",31628.49
1955,"14","Sobre Hierro y Productos de Hierro/Acero",3604287.57
1955,"15","Sobre Vehículos y Repuestos",1378133.51
1955,"16","Derechos Consulares",10060129.89
1955,"17","Otros Recargos s/ Importación",962660.04
1955,"19","Sobre Mercaderías N. C.",18647334.53
1955,"20","Derechos de Exportación",49019891.73
1955,"200","PRESTACION DE SERVICIOS",5660841.67
1955,"21","Sobre el Café",48987766.52
1955,"210","Servicios de Comunicaciones",4209718.04
1955,"230","Servicios de Aduanas",420892.59
1955,"250","Servicios de Muelles y Puentes",794870.85
1955,"30","Artículos Manufacturados y de Consumo",26039104.5
1955,"300","DERECHOS, LICENCIAS, CONCESIONES",1595806.48
1955,"31","Sobre Productos Alcohólicos",16735889.42
1955,"310","Derechos Generales",893543.78
1955,"32","Sobre Cigarrillos",6520672.18
1955,"33","Sobre Azúcar",1853664.18
1955,"34","Sobre Bebidas Gaseosas",675351.83
1955,"341","Licencias de Motoristas y Tarjetas",59107
1955,"40","Impuestos sobre la Renta y de Vialidad",13631691.73
1955,"400","MULTAS Y COMISOS",436007.47
1955,"411","De Tránsito y Policía",286289.25
1955,"413","Aduaneras",55126.45
1955,"50","Especies Fiscales e Impuestos por Servicios",3621529.03
1955,"51","Timbres Fiscales",2077952.01
1955,"52","Papel Sellado",770434.12
1955,"55","Sobre Pasajes Marítimos y Aéreos",303494.47
1955,"56","Sobre Primas de Seguros",108459.39
1955,"60","Impuestos de Sucesiones y Donaciones",2141085.53
1955,"70","Impuestos por Matrículas de Vehículos",NA
1955,"700","OTRAS RENTAS (MISCELLANEOUS)",2692756.47
1955,"722","Sobre Préstamos e Inversiones",351082.74
1955,"740","Tasaciones Especiales (Pavimentación)",166702.04
1955,"755","Donativos de Instituciones Autónomas",NA
1955,"800","VENTA/DAÑO PROPIEDAD FISCAL",12800
1955,"900","INGRESOS NO RENTAS",183544.78
1955,"940","Devolución Gastos Años Anteriores",17654.14
1955,"992","Liquidación de Resultas de Cuentas",12354.48
1955,"993","Liquidación de Responsabilidades Pendientes",5299.66
1955,NA,"TOTAL INGRESOS ORDINARIOS (RENTAS)",165410796.27
1956,"0","IMPUESTOS (TAXES)",157776600.02
1956,"10","Derechos de Importación",59030083.59
1956,"100","VENTA DE MERCADERIAS Y PRODUCTOS",1728594.96
1956,"1000","TOTAL GENERAL DE INGRESOS",170931163
1956,"11","Sobre Tejidos y Artículos de Vestuario",9794225.88
1956,"110","Venta de Artículos Estancados (Monopoly)",1541198.46
1956,"12","Sobre Combustibles y Lubricantes",11870902.43
1956,"120","Formularios y Publicaciones Oficiales",32844.04
1956,"13","Sobre Harinas y Cereales",2214741.12
1956,"130","Artículos y Materiales de Construcción",53397.09
1956,"14","Sobre Hierro y Productos de Hierro/Acero",4375949.62
1956,"15","Sobre Vehículos y Repuestos",2017609.82
1956,"150","Productos Agrícolas y Lácteos",64232.1
1956,"16","Derechos Consulares",10760859.9
1956,"17","Otros Recargos s/ Importación",991169.14
1956,"19","Sobre Mercaderías N. C.",17004625.68
1956,"20","Derechos de Exportación",43503069.8
1956,"200","PRESTACION DE SERVICIOS",6055645.99
1956,"21","Sobre el Café",43472526.64
1956,"210","Servicios de Comunicaciones",5216660.31
1956,"220","Servicios de Espectáculos Públicos",133048.05
1956,"230","Servicios de Aduanas",419689.55
1956,"250","Servicios de Muelles y Puentes",794870.85
1956,"30","Artículos Manufacturados y de Consumo",27960812.04
1956,"300","DERECHOS, LICENCIAS, CONCESIONES",1947656.95
1956,"31","Sobre Productos Alcohólicos",17806754.36
1956,"310","Derechos Generales",949692.83
1956,"32","Sobre Cigarrillos",7187730.35
1956,"33","Sobre Azúcar",1871066.08
1956,"330","Matrículas de Comercio",552188.42
1956,"34","Sobre Bebidas Gaseosas",750242.64
1956,"341","Licencias de Motoristas y Tarjetas",154282
1956,"35","Sobre el Algodón",290217.43
1956,"350","Concesiones",197544.45
1956,"360","Permisos",93949.25
1956,"40","Impuestos sobre la Renta y de Vialidad",15153674.45
1956,"400","MULTAS Y COMISOS",512126.02
1956,"410","Multas",512126.02
1956,"420","Comisos",NA
1956,"50","Especies Fiscales e Impuestos por Servicios",4503966.9
1956,"51","Timbres Fiscales",2761735.08
1956,"52","Papel Sellado",946189.95
1956,"55","Sobre Pasajes Marítimos y Aéreos",347890.76
1956,"56","Sobre Primas de Seguros",154859.4
1956,"57","Sobre Espectáculos Públicos",387455.83
1956,"60","Impuestos de Sucesiones y Donaciones",4281549.7
1956,"70","Impuestos por Matrículas de Vehículos",1326912.58
1956,"700","OTRAS RENTAS (MISCELLANEOUS)",2618104.8
1956,"710","Arrendamientos",50706.07
1956,"720","Intereses y Dividendos",372731.11
1956,"740","Tasaciones Especiales (Pavimentación)",70948.83
1956,"750","Donaciones y Aportaciones",1755303.48
1956,"755","Donativos de Inst. Autónomas",1734092.49
1956,"800","VENTA/DAÑO PROPIEDAD FISCAL",15768.65
1956,"90","Otros Impuestos",2016530.96
1956,"900","INGRESOS NO RENTAS",276665.61
1956,"91","De Alcabala",1341379.11
1956,"92","Establecimientos Comerciales (Timbre)",160459
1956,"94","De Migración",132945.88
1956,"940","Devolución Gastos Años Anteriores",151899.78
1956,"95","""Visto Bueno"" en Ventas de Ganado",53802.54
1956,"96","Exhibición de Películas",143111.01
1956,"990","Resultas de Cuentas (Liquidation)",24923.76
1956,NA,"TOTAL INGRESOS ORDINARIOS",170638728.74
1957,"0","IMPUESTOS (TAXES)",175570735.4
1957,"10","Derechos de Importación",63192525.01
1957,"100","VENTA DE MERCADERIAS Y PRODUCTOS",1673004.82
1957,"1000","TOTAL GENERAL DE INGRESOS",191423531.02
1957,"11","Sobre Tejidos y Artículos de Vestuario",10894042.26
1957,"111","Envases y Tapones de Seguridad",1111772.2
1957,"112","Papel para Cigarrillos",398607.26
1957,"119","Artículos Estancados No Clasificados",16600.46
1957,"12","Sobre Combustibles, Aceites y Lub.",12927341.24
1957,"120","Formularios y Publicaciones Oficiales",34458.33
1957,"13","Sobre Harinas de Cereales y Vegetales",2316557.55
1957,"130","Artículos y Materiales de Construcción",53747.67
1957,"14","Sobre Hierro y Productos de Hierro/Acero",4578041.98
1957,"140","Armas de Fuego y Municiones",8379.95
1957,"15","Sobre Vehículos y Repuestos",2186546.47
1957,"150","Productos Agrícolas y Lácteos",30599.9
1957,"16","Derechos Consulares",11830638.63
1957,"17","Otros Recargos sobre Importación",1055760.83
1957,"19","Sobre Mercaderías No Clasificadas",17403596.05
1957,"190","Mercaderías y Productos No Clasif.",18839.05
1957,"20","Derechos de Exportación",54572613.33
1957,"200","PRESTACION DE SERVICIOS",6452422.63
1957,"21","Sobre el Café",54548381.38
1957,"211","Teléfonos",2421812.28
1957,"212","Correos",1157927.16
1957,"213","Telégrafos",434013.57
1957,"214","Cablegramas",194843.78
1957,"215","Radiotelegrafía Internacional",436836.76
1957,"216","Radiotelefonía Internacional",171325.51
1957,"221","Eventos Deportivos",34035.65
1957,"229","Teatros Nacionales y Otros",48882.48
1957,"231","Almacenaje en Aduanas",491946.34
1957,"239","Servicios Aduaneros No Clasificados",111219.53
1957,"250","Muelles y Puentes",763593.12
1957,"270","Servicios Agrícolas",58918.1
1957,"291","Laboratorios",12935.3
1957,"292","Construcción",10589
1957,"293","Imprenta",84933.66
1957,"299","Prestación de Otros Servicios N. C.",11181.82
1957,"30","Artículos Manufacturados y de Consumo",29815223.61
1957,"300","DERECHOS, LICENCIAS, CONCESIONES",2055895.71
1957,"31","Sobre Productos Alcohólicos",18954938.47
1957,"311","Visación y Auténtica de Documentos",876419.75
1957,"312","Registro de Marcas y Patentes",82747.54
1957,"313","Exámenes y Matrículas de Estudiantes",110790
1957,"32","Sobre Cigarrillos",7628627.54
1957,"33","Sobre Azúcar",1947148.32
1957,"331","Licencias de Farmacias y Lab.",32121
1957,"332","Patentes de Aguardiente y Alcohol",197494.67
1957,"333","Patentes de Licores Extranjeros",179023.5
1957,"34","Sobre Bebidas Gaseosas",910426
1957,"341","Licencias de Motoristas",126885
1957,"35","Sobre el Algodón",352986.16
1957,"350","Concesiones",202027
1957,"361","Permisos Instalaciones Eléctricas",49180
1957,"369","Permisos No Clasificados",60083.25
1957,"40","Impuestos sobre la Renta y de Vialidad",16108792.41
1957,"400","MULTAS Y COMISOS",400938.52
1957,"41","Sobre la Renta",12844755.28
1957,"411","De Tránsito y Policía",207965.5
1957,"412","Infracción Leyes de Licores",64076.98
1957,"413","Aduaneras",61629.83
1957,"414","De Sanidad",807
1957,"419","Multas No Clasificadas",66063.57
1957,"420","Comisos",395.64
1957,"45","De Vialidad (Serie ""A"")",3264037.13
1957,"50","Especies Fiscales e Impuestos por Serv.",4825358.71
1957,"51","Timbres Fiscales",2656323.21
1957,"52","Papel Sellado",1045623.55
1957,"54","Otras Especies Fiscales",67068.09
1957,"55","Sobre Pasajes Marítimos y Aéreos",389726.21
1957,"56","Sobre Primas de Seguros",154437.64
1957,"57","Sobre Espectáculos Públicos",512180.01
1957,"60","Impuestos de Sucesiones y Donaciones",3390633.84
1957,"70","Impuestos por Matrículas de Vehículos",1587330.95
1957,"700","OTRAS RENTAS (MISCELLANEOUS)",3355933.29
1957,"713","Edificios y Construcciones",33600
1957,"714","Arrendamiento de Equipo",8924.76
1957,"719","Arrendamientos N. C.",3690
1957,"722","Intereses Préstamos e Inversiones",558388.39
1957,"723","Descuentos sobre Inversiones",180000
1957,"730","Diferencias por Cambio",229.57
1957,"741","Impuesto de Pavimentación",223355.97
1957,"753","Aportaciones Dependencias Guber.",20397
1957,"755","Donativos de Inst. Autónomas",1711799.89
1957,"760","Otras Rentas No Clasificadas",615547.71
1957,"800","VENTA/DAÑO PROPIEDAD FISCAL",339895.23
1957,"90","Otros Impuestos",2079257.54
1957,"900","INGRESOS QUE NO SON RENTAS",1574705.42
1957,"91","De Alcabala",1362191.77
1957,"92","Establecimientos Comerciales e Indus.",158746
1957,"93","Derechos de Cédulas de Vecindad",142469.66
1957,"94","De Migración",141345.87
1957,"940","Devolución Gastos Años Anteriores",859720.88
1957,"95","""Visto Bueno"" en Ventas de Ganado",53738.9
1957,"96","Ingresos por Exhibición de Películas",219765.34
1957,"970","Ajuste de Saldos de Fondos",677100.84
1957,"992","Liquidación de Resultas de Cuentas",28040.31
1957,"993","Liquidación Responsabilidades Pend.",5843.39
1957,NA,"TOTAL INGRESOS ORDINARIOS",189508930.37
1958,"0","IMPUESTOS (TAXES)",153488744.14
1958,"10","Derechos de Importación",59373139.88
1958,"100","VENTA DE MERCADERIAS Y PRODUCTOS",1611797.91
1958,"1000","TOTAL GENERAL DE INGRESOS",168683921.84
1958,"11","Sobre Productos Alimenticios",8860705.6
1958,"111","Envases y Tapones de Seguridad",1062825.08
1958,"112","Papel para Cigarrillos",381889.22
1958,"12","Sobre Combustibles, Aceites y Lub.",13820042.51
1958,"120","Formularios y Publicaciones Oficiales",48481.15
1958,"13","Sobre Harinas de Cereales y Vegetales",2355153.29
1958,"130","Artículos y Materiales de Construcción",9877.32
1958,"14","Sobre Hierro, Acero y Otros Metales",3711653.1
1958,"140","Armas de Fuego y Municiones",14541.1
1958,"15","Sobre Vehículos y Repuestos",1781540.06
1958,"150","Productos Agrícolas y Lácteos",59871.23
1958,"16","Derechos Consulares",10545218.05
1958,"17","Otros Recargos sobre Importación",986633.69
1958,"19","Sobre Mercaderías No Clasificadas",17312193.58
1958,"20","Derechos de Exportación",35452665.56
1958,"200","PRESTACION DE SERVICIOS",6525101.02
1958,"21","Sobre el Café",35426763.27
1958,"211","Teléfonos",2461579.29
1958,"212","Correos",1153329.58
1958,"213","Telégrafos",433547.99
1958,"214","Cablegramas",191902.8
1958,"215","Radiotelegrafía Internacional",497061.18
1958,"216","Radiotelefonía Internacional",172953.21
1958,"221","Eventos Deportivos",39338.06
1958,"231","Almacenaje en Aduanas",464815.3
1958,"250","Muelles y Puentes",631039.24
1958,"270","Servicios Agrícolas",186134.43
1958,"30","Artículos Manufacturados y de Consumo",27979018.35
1958,"300","DERECHOS, LICENCIAS, CONCESIONES",2072524.39
1958,"31","Sobre Productos Alcohólicos",17927952.38
1958,"311","Visación y Auténtica de Documentos",869569.71
1958,"32","Sobre Cigarrillos",7127751.02
1958,"33","Sobre Azúcar",2000027.25
1958,"330","Matrículas de Comercio",541955.95
1958,"34","Sobre Bebidas Gaseosas",869297.27
1958,"341","Licencias de Motoristas",111133
1958,"35","Sobre el Algodón",28537.48
1958,"350","Concesiones",237611.77
1958,"360","Permisos",99255.1
1958,"40","Impuestos sobre la Renta y de Vialidad",18586808.04
1958,"400","MULTAS Y COMISOS",449954.53
1958,"41","Sobre la Renta",15089568.29
1958,"410","Multas",449792.49
1958,"420","Comisos",162.04
1958,"45","De Vialidad (Serie ""A"")",3497239.75
1958,"50","Especies Fiscales e Impuestos por Serv.",4853529.79
1958,"51","Timbres Fiscales",2589851.44
1958,"52","Papel Sellado",1141918.8
1958,"54","Otras Especies Fiscales",68831.26
1958,"55","Sobre Pasajes Marítimos y Aéreos",403053.91
1958,"60","Impuestos de Sucesiones y Donaciones",4037852.41
1958,"70","Impuestos por Matrículas de Vehículos",1356755.5
1958,"700","OTRAS RENTAS (MISCELLANEOUS)",3553225.51
1958,"713","Edificios y Construcciones",36932.01
1958,"722","Préstamos e Inversiones",766711.78
1958,"741","Impuesto de Pavimentación",166031.51
1958,"755","Donativos de Inst. Autónomas",2002977.4
1958,"800","VENTA/DAÑO PROPIEDAD FISCAL",104299.19
1958,"90","Otros Impuestos",1848974.61
1958,"900","INGRESOS QUE NO SON RENTA",878275.15
1958,"91","De Alcabala",1159978.1
1958,"92","Establecimientos Comerciales e Indus.",164465
1958,"93","Derechos de Cédulas de Vecindad",110728.29
1958,"94","De Migración",102999.49
1958,NA,"TOTAL INGRESOS ORDINARIOS",167701347.5
1959,"0","IMPUESTOS (TAXES)",141067358.87
1959,"019-1","Sobre Artículos Manufacturados Diversos",7086115.02
1959,"019-2","Sobre Animales y Transacciones Especiales",9721.15
1959,"10","Derechos de Importación",58364991.42
1959,"100","VENTA DE MERCADERIAS Y PRODUCTOS",1559777.15
1959,"1000","TOTAL GENERAL DE INGRESOS",156988480.63
1959,"11","Sobre Productos Alimenticios",6504295.53
1959,"111","Envases y Tapones de Seguridad",1031525.34
1959,"112","Papel para Cigarrillos",360229.8
1959,"119","Artículos Estancados N. C.",10888.44
1959,"12","Sobre Bebidas y Tabacos",2266193.87
1959,"120","Formularios y Publicaciones Oficiales",73184.17
1959,"13","Sobre Materiales Crudos (No Comestibles)",138190.33
1959,"130","Artículos y Materiales de Construcción",2425.77
1959,"14","Sobre Combustibles y Lubricantes",15085642.98
1959,"140","Armas de Fuego y Municiones",20140.78
1959,"15","Sobre Aceites y Mantecas (Animal/Veg)",346450.41
1959,"150","Productos Agrícolas y Lácteos",38100.93
1959,"16","Sobre Productos Químicos",6448804.98
1959,"17","Sobre Artículos Manufacturados (Material)",15564484.17
1959,"18","Sobre Maquinaria y Material de Transporte",4915092.98
1959,"190","Mercaderías y Productos N. C.",23281.92
1959,"20","Derechos de Exportación",24801455.62
1959,"200","PRESTACION DE SERVICIOS",6620323.86
1959,"21","Sobre el Café",24773805.86
1959,"211","Teléfonos",2703405.28
1959,"212","Correos",1220490.15
1959,"213","Telégrafos",445865.29
1959,"214","Cablegramas",187944.53
1959,"215","Radiotelegrafía Internacional",495512.74
1959,"216","Radiotelefonía Internacional",189603.1
1959,"221","Eventos Deportivos",35387.17
1959,"229","Teatros Nacionales y Otros",28846.3
1959,"231","Almacenaje en Aduanas",348255.5
1959,"239","Servicios Aduaneros N. C.",122427.67
1959,"250","Servicios de Muelles y Puentes",655429.35
1959,"270","Servicios Agrícolas",72316.4
1959,"29","Sobre Mercaderías N. C.",27649.76
1959,"293","Servicio de Imprenta",91035.69
1959,"299","Prestación de Otros Servicios N. C.",1148.51
1959,"30","Artículos Manufacturados y de Consumo",27430835.85
1959,"300","DERECHOS, LICENCIAS, CONCESIONES",2166748.53
1959,"31","Sobre Productos Alcohólicos",17768960.79
1959,"311","Visación y Auténtica de Documentos",871514.61
1959,"312","Registro de Marcas y Patentes",86227.85
1959,"313","Exámenes y Matrículas de Estudiantes",129058
1959,"32","Sobre Cigarrillos",6714947.75
1959,"33","Sobre Azúcar",1920076
1959,"331","Licencias de Farmacias y Lab.",40082
1959,"332","Patentes de Aguardiente y Alcohol",193898.47
1959,"333","Patentes de Licores Extranjeros",177208
1959,"34","Sobre Bebidas Gaseosas",786245.32
1959,"341","Licencias de Motoristas",177512.5
1959,"359","Concesiones N. C.",247137.95
1959,"361","Permisos Instalaciones Eléctricas",52602.9
1959,"369","Permisos No Clasificados",35203.75
1959,"40","Impuestos Sobre la Renta y de Vialidad",19709073.4
1959,"400","MULTAS Y COMISOS",518808.01
1959,"41","Sobre la Renta",15888565.36
1959,"411","De Tránsito y Policía",251528.5
1959,"413","Aduaneras",76949.48
1959,"45","De Vialidad (Serie ""A"")",3820508.04
1959,"50","Especies Fiscales e Impuestos por Servicios",4993726.21
1959,"51","Timbres Fiscales",2761735.08
1959,"52","Papel Sellado",1024060.67
1959,"54","Otras Especies Fiscales",65046.49
1959,"55","Sobre Pasajes Marítimos y Aéreos",436217.84
1959,"56","Sobre Primas de Seguros",140530.55
1959,"57","Sobre Espectáculos Públicos",566135.58
1959,"60","Impuestos de Sucesiones y Donaciones",2323284.47
1959,"70","Impuestos por Matrículas de Vehículos",1628865.5
1959,"700","OTRAS RENTAS (MISCELLANEOUS)",4737139.1
1959,"713","Edificios y Construcciones",45029.44
1959,"714","Arrendamiento de Equipo",8313.85
1959,"722","Préstamos e Inversiones",821991.17
1959,"741","Impuesto de Pavimentación",171317.78
1959,"755","Donativos de Inst. Autónomas",2240699.71
1959,"760","Otras Rentas N. C.",1405543.52
1959,"800","VENTA/DAÑO PROPIEDAD FISCAL",16636.65
1959,"90","Otros Impuestos",1815126.4
1959,"900","INGRESOS NO RENTAS",301688.46
1959,"91","De Alcabala",1190854.95
1959,"92","Sobre Establecimientos Comerciales",168650.5
1959,"93","Cédulas de Vecindad",80918.65
1959,"94","De Migración",68544.5
1959,"940","Devolución Gastos Años Anteriores",253949.02
1959,"95","""Visto Bueno"" en Ventas de Ganado",61226.52
1959,"99","Otros Impuestos N. C.",244931.28
1959,"990","Resultas de Cuentas (Liquidation)",47739.44
1959,NA,"TOTAL INGRESOS ORDINARIOS",156670155.52
1960,"0","IMPUESTOS (TAXES)",154637144.09
1960,"019-1","Sobre Artículos Manufacturados Diversos",7771871.85
1960,"019-2","Sobre Animales y Transacciones Especiales",5110.09
1960,"10","Derechos de Importación",69835534.88
1960,"100","VENTA DE MERCADERIAS Y PRODUCTOS",1607199
1960,"11","Sobre Productos Alimenticios",6853792.14
1960,"110","Venta de Artículos Estancados",1483988.4
1960,"111","Envases y Tapones de Seguridad",1066806.29
1960,"112","Papel para Cigarrillos",403926.8
1960,"119","Artículos Estancados N. C.",13255.31
1960,"12","Sobre Bebidas y Tabacos",2660892.22
1960,"120","Formularios y Publicaciones Oficiales",59025.27
1960,"13","Sobre Materiales Crudos (excepto Combustibles)",187322.67
1960,"130","Artículos y Materiales de Construcción",5227.15
1960,"14","Sobre Combustibles y Lubricantes",15759077.17
1960,"140","Armas de Fuego y Municiones",18152.16
1960,"15","Sobre Aceites y Mantecas (Animal/Vegetal)",864904.26
1960,"150","Productos Agrícolas y Lácteos",29412.53
1960,"16","Sobre Productos Químicos",6868353.54
1960,"17","Sobre Artículos Manufacturados (Material)",21426962.76
1960,"18","Sobre Maquinaria y Material de Transporte",7437248.18
1960,"190","Mercaderías y Productos N. C.",11393.49
1960,"20","Derechos de Exportación",26297643.73
1960,"200","PRESTACION DE SERVICIOS",7336785.57
1960,"21","Sobre el Café",26277673.37
1960,"210","Servicios de Comunicaciones",5843515.81
1960,"211","Teléfonos",3020834.26
1960,"212","Correos",1408705.74
1960,"213","Telégrafos",477062.14
1960,"214","Cablegramas",214495.23
1960,"215","Radiotelegrafía Internacional",521494.58
1960,"216","Radiotelefonía Internacional",194991.33
1960,"219","Servicios de Comunicaciones N. C.",5932.53
1960,"220","Servicios de Espectáculos Públicos",52411.76
1960,"230","Servicios de Aduanas",486962.62
1960,"250","Servicios de Muelles y Puentes",748916.38
1960,"270","Servicios Agrícolas",35620.05
1960,"29","Sobre Mercaderías N. C.",19970.36
1960,"290","Prestación de Otros Servicios",169358.95
1960,"30","Artículos Manufacturados y de Consumo",29749012.85
1960,"300","DERECHOS, LICENCIAS, CONCESIONES",2308170.23
1960,"31","Sobre Productos Alcohólicos",18961671.55
1960,"310","Derechos Generales",1259127.89
1960,"311","Visación y Auténtica de Documentos",1006949.44
1960,"32","Sobre Cigarrillos",7577943.07
1960,"33","Sobre Azúcar",2024112.65
1960,"330","Matrículas de Comercio",552733.39
1960,"34","Sobre Bebidas Gaseosas",750000
1960,"340","Matrículas No Comerciales",131925
1960,"350","Concesiones",249066.4
1960,"360","Permisos",115317.55
1960,"40","Impuestos Sobre la Renta y de Vialidad",17053454.61
1960,"400","MULTAS Y COMISOS",1184828.11
1960,"41","Sobre la Renta",13437177.09
1960,"410","Multas",1064496.41
1960,"420","Comisos",120331.7
1960,"45","De Vialidad (Serie ""A"")",3616277.52
1960,"50","Especies Fiscales e Impuestos por Servicios",5172143.88
1960,"51","Timbres Fiscales",2886001.05
1960,"52","Papel Sellado",1150558.07
1960,"54","Otras Especies Fiscales",82224.5
1960,"55","Sobre Pasajes Marítimos y Aéreos",499294.94
1960,"56","Sobre Primas de Seguros",160679.33
1960,"57","Sobre Espectáculos Públicos",393385.99
1960,"59","Impuestos por Servicios N. C.",NA
1960,"60","Impuestos de Sucesiones y Donaciones",2125493.25
1960,"70","Impuestos por Matrículas de Vehículos",2088954.5
1960,"700","OTRAS RENTAS (MISCELLANEOUS)",3472379.01
1960,"710","Arrendamientos",53136.31
